0.00000000e+00,0.00000000e+00.1,0.00000000e+00.2,-1.35578944e-08
1e-10,1.66309243,1e-10,-0.0485106743
1.06023603e-10,1.70661873,1.06023603e-10,-0.0419286637
1.18070808e-10,1.75552303,1.18070808e-10,-0.0367337647
1.42165219e-10,1.75812686,1.42165219e-10,-0.0170843706
1.90354041e-10,1.74371163,1.90354041e-10,0.00391388488
2.49127791e-10,1.74005864,2.49127791e-10,-0.00452222893
3.51894976e-10,1.72926325,3.51894976e-10,0.00187548185
5.56154446e-10,1.72639009,5.56154446e-10,-0.00262785251
8.36857826e-10,1.72206124,8.36857826e-10,0.00204564413
1.39826459e-09,1.72383825,1.39826459e-09,-0.00202739359
2.35193328e-09,1.72036338,2.35193328e-09,0.00195957183
4.25927065e-09,1.72063568,4.25927065e-09,-0.0019561196
8.07394541e-09,1.71403585,8.07394541e-09,0.00192320826
1e-08,1.71428493,1e-08,-0.00191970825
1.01e-08,1.71303198,1.01e-08,-0.000154058963
1.03e-08,1.71269742,1.03e-08,7.68180903e-05
1.05653774e-08,1.71251088,1.05653774e-08,-0.000165555758
1.08538497e-08,1.71209486,1.08538497e-08,-0.00124431945
1.1e-08,1.71211096,1.1e-08,-0.00353605466
1.10161505e-08,1.71207657,1.10161505e-08,-0.00365370574
1.10484516e-08,1.71205226,1.10484516e-08,-0.00412549002
1.11130536e-08,1.71171842,1.11130536e-08,-0.010893915
1.12330962e-08,1.70856949,1.12330962e-08,-0.0629097671
1.1338932e-08,1.70223367,1.1338932e-08,-0.112492645
1.14354065e-08,1.86229701,1.14354065e-08,-0.429940644
1.15298471e-08,2.99787048,1.15298471e-08,-0.908447102
1.15994422e-08,4.16563201,1.15994422e-08,-0.973442394
1.16793779e-08,4.53111435,1.16793779e-08,-0.874908454
1.17534442e-08,4.61853888,1.17534442e-08,-0.782787749
1.18336574e-08,4.71153665,1.18336574e-08,-0.688663536
1.1957927e-08,4.77108445,1.1957927e-08,-0.527880886
1.21179491e-08,4.8208363,1.21179491e-08,-0.4081874
1.24150239e-08,4.83672126,1.24150239e-08,-0.319389498
1.27066871e-08,4.84321842,1.27066871e-08,-0.327438986
