0.00000000e+00,0.00000000e+00.1,0.00000000e+00.2,-1.35578944e-08
1e-10,1.75277937,1e-10,-0.0422576539
1.05854723e-10,1.79815737,1.05854723e-10,-0.0372866072
1.17564168e-10,1.85119776,1.17564168e-10,-0.0337061625
1.40983059e-10,1.851121,1.40983059e-10,-0.0233518848
1.8782084e-10,1.80430262,1.8782084e-10,-0.00506413058
2.45574321e-10,1.78696106,2.45574321e-10,-0.00163740559
3.60680621e-10,1.77551555,3.60680621e-10,-0.000761646569
4.99791736e-10,1.76889289,4.99791736e-10,-0.000612563232
7.78013965e-10,1.76593054,7.78013965e-10,6.69630333e-05
1.28597291e-09,1.76466655,1.28597291e-09,-0.000184745403
2.3018908e-09,1.76450337,2.3018908e-09,0.000181722005
4.04323281e-09,1.76260397,4.04323281e-09,-0.00020139576
7.52591684e-09,1.76048894,7.52591684e-09,0.000189132732
1e-08,1.75806452,1e-08,-0.000206718068
1.01e-08,1.75822127,1.01e-08,-2.37102152e-05
1.03e-08,1.75811557,1.03e-08,-3.01585732e-05
1.05653759e-08,1.75787902,1.05653759e-08,-6.3272193e-05
1.08538568e-08,1.75769454,1.08538568e-08,-0.00133144865
1.1e-08,1.75767383,1.1e-08,-0.00345377324
1.10161507e-08,1.75769148,1.10161507e-08,-0.00362414074
1.1048452e-08,1.75771304,1.1048452e-08,-0.00412771113
1.11130548e-08,1.75730715,1.11130548e-08,-0.0109134258
1.12330922e-08,1.75310883,1.12330922e-08,-0.0630565838
1.13389241e-08,1.74467621,1.13389241e-08,-0.11270207
1.14352192e-08,1.93817411,1.14352192e-08,-0.415289994
1.15294601e-08,3.14880269,1.15294601e-08,-0.862221999
1.15988442e-08,4.28218115,1.15988442e-08,-0.888281718
1.16786843e-08,4.61146639,1.16786843e-08,-0.778257114
1.17575944e-08,4.69248956,1.17575944e-08,-0.67900153
1.18356522e-08,4.77459715,1.18356522e-08,-0.584296093
1.19638452e-08,4.82874889,1.19638452e-08,-0.421376826
1.21216356e-08,4.87352908,1.21216356e-08,-0.304262895
1.24246485e-08,4.88738512,1.24246485e-08,-0.218986621
1.27157381e-08,4.89362605,1.27157381e-08,-0.226007585
1.30896752e-08,4.88800586,1.30896752e-08,-0.218537434
1.35788574e-08,4.8933425,1.35788574e-08,-0.226122553
1.45572218e-08,4.88818075,1.45572218e-08,-0.218467279
1.65139506e-08,4.89325787,1.65139506e-08,-0.226155693
2.00498043e-08,4.88822396,2.00498043e-08,-0.218450564
2.71215118e-08,4.89323498,2.71215118e-08,-0.22616451
4.12649267e-08,4.88823538,4.12649267e-08,-0.218446186
6.95517566e-08,4.89322929,6.95517566e-08,-0.226166692
1.26125416e-07,4.88823822,1.26125416e-07,-0.218445097
1.66e-07,4.893227,1.66e-07,-0.226167568
1.661e-07,4.89086234,1.661e-07,-0.222211242
1.663e-07,4.89061879,1.663e-07,-0.222263037
1.66511078e-07,4.89081752,1.66511078e-07,-0.223068459
1.66738555e-07,4.89056988,1.66738555e-07,-0.227735433
1.66919115e-07,4.89080052,1.66919115e-07,-0.232093068
1.67e-07,4.89063916,1.67e-07,-0.233899776
1.67018996e-07,4.89070778,1.67018996e-07,-0.234045692
1.67056989e-07,4.89078017,1.67056989e-07,-0.234170111
1.67132975e-07,4.89079924,1.67132975e-07,-0.234259803
1.67284947e-07,4.89075854,1.67284947e-07,-0.234095771
1.6746571e-07,4.89077739,1.6746571e-07,-0.233684454
1.67703757e-07,4.8928134,1.67703757e-07,-0.237881031
1.67952803e-07,4.90120225,1.67952803e-07,-0.253316682
1.68226425e-07,4.92598598,1.68226425e-07,-0.232954828
1.68416741e-07,4.92628996,1.68416741e-07,-0.224797129
1.68578541e-07,4.91003934,1.68578541e-07,-0.224313829
1.68692607e-07,4.89402331,1.68692607e-07,-0.22261055
1.68822132e-07,4.85696284,1.68822132e-07,-0.220811665
1.69032014e-07,4.42592177,1.69032014e-07,-0.194945265
1.69406514e-07,2.45017309,1.69406514e-07,-0.0937112833
1.69682764e-07,1.79430411,1.69682764e-07,-0.0768219536
1.70012391e-07,1.79979023,1.70012391e-07,-0.0834164981
1.70363569e-07,1.78831929,1.70363569e-07,-0.0802716038
1.70774456e-07,1.79790952,1.70774456e-07,-0.0824088671
1.71412318e-07,1.78773712,1.71412318e-07,-0.0806342048
1.72688042e-07,1.79615139,1.72688042e-07,-0.0821996612
1.75239491e-07,1.78499073,1.75239491e-07,-0.0805587331
1.76e-07,1.7935805,1.76e-07,-0.0820274329
1.76063637e-07,1.78903211,1.76063637e-07,-0.081312014
1.76190911e-07,1.78819781,1.76190911e-07,-0.0811740859
1.76445459e-07,1.78865814,1.76445459e-07,-0.0814181896
1.76746309e-07,1.78779128,1.76746309e-07,-0.0867994154
1.76938733e-07,1.78823593,1.76938733e-07,-0.0914413469
1.77e-07,1.78774463,1.77e-07,-0.0928077123
1.77017993e-07,1.7878751,1.77017993e-07,-0.0929385787
1.77053979e-07,1.78794783,1.77053979e-07,-0.0930836556
1.77125951e-07,1.78787326,1.77125951e-07,-0.0932175404
1.77269896e-07,1.78775073,1.77269896e-07,-0.0931159986
1.7745086e-07,1.78760233,1.7745086e-07,-0.0926551735
1.77690556e-07,1.78865045,1.77690556e-07,-0.0973236883
1.77936025e-07,1.79400942,1.77936025e-07,-0.116533468
1.78225066e-07,1.81981223,1.78225066e-07,-0.0911001119
1.78449895e-07,2.07043742,1.78449895e-07,-0.0948667209
