0.00000000e+00,0.00000000e+00.1,0.00000000e+00.2,-1.12877956e-08,0.00000000e+00.3,-2.27256391e-09,0.00000000e+00.4,0.00000000e+00.5
1e-11,0.825488746,1e-11,-0.0552598458,1e-11,0.00387785179,1e-11,0.0375222157
1.38790293e-11,1.10259191,1.38790293e-11,-0.0651562814,1.38790293e-11,0.00170187239,1.38790293e-11,0.050117814
2.16370878e-11,1.55779176,2.16370878e-11,-0.0756017477,2.16370878e-11,-0.00253310314,2.16370878e-11,0.0708087162
3.71532048e-11,1.92357339,3.71532048e-11,-0.0679711714,3.71532048e-11,-0.00713368816,3.71532048e-11,0.0874351539
6.11383252e-11,1.97885463,6.11383252e-11,-0.0342212717,6.11383252e-11,-0.0103441996,6.11383252e-11,0.0899479379
8.72086961e-11,1.91866998,8.72086961e-11,-0.0172967052,8.72086961e-11,-0.00939875421,8.72086961e-11,0.0872122718
1.31384684e-10,1.84962302,1.31384684e-10,-0.0027829486,1.31384684e-10,-0.00879610162,1.31384684e-10,0.0840737735
1.89897078e-10,1.80652266,1.89897078e-10,0.000887303073,1.89897078e-10,-0.00615328821,1.89897078e-10,0.0821146664
2.91467696e-10,1.78374142,2.91467696e-10,0.00462354055,2.91467696e-10,-0.00427061017,2.91467696e-10,0.0810791555
4.36561898e-10,1.7724359,4.36561898e-10,-0.000290698768,4.36561898e-10,-0.00180742202,4.36561898e-10,0.080565268
6.90265671e-10,1.76654235,6.90265671e-10,0.00215378492,6.90265671e-10,-0.000890801446,6.90265671e-10,0.0802973794
1.1302678e-09,1.76579135,1.1302678e-09,-0.00170980389,1.1302678e-09,0.000307703062,1.1302678e-09,0.0802632434
1.90374691e-09,1.76570049,1.90374691e-09,0.00169446326,1.90374691e-09,-0.000304774494,1.90374691e-09,0.080259113
2.90374691e-09,1.76567175,2.90374691e-09,-0.00168652659,2.90374691e-09,0.000302984283,2.90374691e-09,0.0802578067
3.90374691e-09,1.76542519,3.90374691e-09,0.00167639437,3.90374691e-09,-0.000303648341,3.90374691e-09,0.0802465996
4.90374691e-09,1.76545177,4.90374691e-09,-0.0016692625,4.90374691e-09,0.000302565966,4.90374691e-09,0.0802478079
5.90374691e-09,1.76517616,5.90374691e-09,0.00165970932,5.90374691e-09,-0.000303491774,5.90374691e-09,0.0802352802
6.90374691e-09,1.76521736,6.90374691e-09,-0.00165309623,6.90374691e-09,0.000302523562,6.90374691e-09,0.0802371527
